Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC|HFC143a,kt HFC143a/yr,,,25.15048556,60.30016903,104.3063302,123.1787217,144.1536639,157.9009173,171.9407028,186.8094025,204.092829,217.6362914,230.2555225,242.3786035,258.2784386,268.7561523,283.944247,292.1157791,308.4385262,312.4432726,327.1589426
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC|HFC227ea,kt HFC227ea/yr,,,10.44788544,7.424269524,2.605142484,2.115518208,1.517561601,1.667044373,1.819947852,1.373074539,0.7831280780000001,0.357392942,0.3781157,0.333468599,0.355343862,0.337732902,0.356819049,0.351146726,0.370767984,0.367877638,0.385204194
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC|HFC23,kt HFC23/yr,,,11.07957075,7.485629126,1.867251451,1.623082771,1.31913749,1.095434633,0.849391597,0.7665741260000001,0.652077809,0.345581363,0.365619248,0.185260743,0.197413694,0.104349761,0.110246832,0.0,0.0,0.0,0.0
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC|HFC32,kt HFC32/yr,,,20.87633978,55.10699451,98.25898927,116.794757,137.4379671,151.4249604,165.7538662,180.4269322,197.5225448,211.3334059,223.5871761,238.2508428,253.8799002,270.0504253,285.3116627,300.1483793,316.9199694,327.6488913,343.0807261
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|HFC|HFC43-10,kt HFC4310mee/yr,,,7.509367059,9.592743612,11.7077491,13.51344915,15.50282511,17.33890925,19.23205501,23.76730871,29.37419565,27.93044367,29.54993792,28.03552801,29.87463535,30.73549037,32.47243121,35.38682224,37.36415518,41.97317164,43.9500532
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|PFC,Mt CO2-equiv/yr,107.3398,104.3541,90.7198,99.4833,103.4968512159742,123.02736644760003,76.35623588623807,86.05965217420001,68.57449355261741,66.02172106947,51.62217071423001,40.41567297314001,42.75909977033,40.089570156940006,42.71941266213001,29.931600681400003,31.6231116746,29.07974892993001,30.704657348600005,32.55186148256,34.085011633680004
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|SF6,kt SF6/yr,4.86,5.79,6.96,8.02,8.490628396106038,7.692,8.640397154712506,8.1053,8.540062941953531,8.3315,8.5208,8.8392,9.1503,9.4925,9.8859,10.1098,10.3334,10.4994,10.6584,10.6918,10.724
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC,Mt CO2-equiv/yr,177.16,296.62,597.15,940.62,1164.3385197734128,1489.066722,1490.430148889003,1799.079997,1885.4419716326668,2163.5888560000003,2356.901118,2530.306207,2704.2828670000004,2917.55607,3127.1710470000003,3330.2536410000002,3533.277748000001,3763.033131,3993.094105,4208.182121000001,4424.127851
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC|HFC125,kt HFC125/yr,,,30.57629853,81.08307381,144.7655226,174.4854187,207.6815533,233.0447789,259.276208,288.4211527,320.4303404,354.3104485,375.0893741,412.1711062,438.541418,475.0392252,500.800399,538.1004388,567.3091398,603.4816171,631.521477
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC|HFC134a,kt HFC134a/yr,,,182.7254613,232.0564775,281.7231779,323.9471432,370.3315001,405.5951052,441.5887452,485.8416294,533.4848553,577.8264622,611.7137299,662.4639475,704.8477552,757.7529407,798.8455582,855.4908461,901.9278577,958.4474758,1002.980287
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC|HFC143a,kt HFC143a/yr,,,25.15048269,60.29957497,104.300554,123.1569935,144.0915674,158.7240222,173.7153948,190.0136334,207.3388459,221.0490607,234.0127257,247.2957228,263.1174658,273.2410916,288.058839,295.6447521,311.692684,315.3828344,330.0366205
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC|HFC227ea,kt HFC227ea/yr,,,10.44788425,7.424196383,2.604998219,2.11514504,1.516907886,1.675734332,1.838732509,1.396626072,0.7955834260000001,0.362997245,0.384285617,0.340233655,0.362001477,0.343368909,0.361989658,0.355388836,0.374679744,0.371338743,0.388592436
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC|HFC23,kt HFC23/yr,,,11.07956948,7.48555538,1.867148048,1.622796466,1.31856925,1.101144907,0.858158623,0.7797227170000001,0.662448852,0.351000448,0.371585254,0.189019116,0.201112378,0.106091125,0.111844401,0.0,0.0,0.0,0.0
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC|HFC32,kt HFC32/yr,,,20.87633739,55.10645161,98.25354797,116.7741549,137.3787635,152.2143075,167.4647006,183.5216884,200.664064,214.6473392,227.2355683,243.0842225,258.6365178,274.5569631,289.4460697,303.774392,320.2636099,330.7315123,346.0984514
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|HFC|HFC43-10,kt HFC4310mee/yr,,,7.509366202,9.592649108,11.70710076,13.51106544,15.49614702,17.4292934,19.43055935,24.17497526,29.8413808,28.36842283,30.03212015,28.60428298,30.43435755,31.24839698,32.94298417,35.81432103,37.75836292,42.36806808,44.33663623
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|PFC,Mt CO2-equiv/yr,107.3398,104.3541,90.7198,99.4833,103.49213943817996,123.00566497360002,76.3238354317405,86.50826338050001,69.28253408518836,67.15415248336001,52.44320124396001,41.04943385281001,43.456823006620006,40.90286471643002,43.51979075053001,30.431092170720007,32.081357268240005,29.431053641430008,31.02860455353001,32.85811934795001,34.38482213052001
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|SF6,kt SF6/yr,4.86,5.79,6.96,8.02,8.490175202156335,7.6905,8.636682050531956,8.1563,8.641780882744738,8.4962,8.6771,8.9992,9.3221,9.7169,10.0963,10.2988,10.5023,10.6464,10.7924,10.817,10.8429
AIM/CGE 2.0,ADVANCE_NoPolicy,World,Emissions|HFC,Mt CO2-equiv/yr,177.16,296.62,597.15,940.62,1164.7080708879062,1491.4449550000002,1495.183103895779,1806.9577239999999,1895.4214240250287,2176.412238,2370.770402,2545.904504,2721.038606,2932.4475180000004,3143.8564300000007,3349.532472,3555.208514,3788.4598179999994,4021.7112650000004,4240.187809,4458.66421
